"genes","255531","255527","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p","Max_Pairwise_comparisons","Max_supporting_pairs","Max_opposing_pairs","Best_pairwise_comp_p","Worst_pairwise_comp_p","Empirical_p"
"Xanthomonas_OG0002591","1","1","139","44","13","2","91.44736842105263","4.3478260869565215","0.486013986013986","0.5275564360868747","1.0","1.0","5","2","3","1.0","1.0","0.96875"
"Xanthomonas_OG0002678","1","1","139","44","13","2","91.44736842105263","4.3478260869565215","0.486013986013986","0.5275564360868747","1.0","1.0","5","2","3","1.0","1.0","0.875"
"Xanthomonas_OG0002727","1","1","139","44","13","2","91.44736842105263","4.3478260869565215","0.486013986013986","0.5275564360868747","1.0","1.0","4","2","2","1.0","1.0","0.19148936170212766"
"Xanthomonas_OG0003581","0","0","13","2","139","44","8.552631578947368","95.65217391304348","2.0575539568345325","0.5275564360868747","1.0","1.0","3","2","2","1.0","1.0","0.625"
"Xanthomonas_OG0003998","0","0","13","2","139","44","8.552631578947368","95.65217391304348","2.0575539568345325","0.5275564360868747","1.0","1.0","4","3","1","0.625","0.625","0.9375"
"Xanthomonas_OG0004275","0","0","13","2","139","44","8.552631578947368","95.65217391304348","2.0575539568345325","0.5275564360868747","1.0","1.0","6","6","1","0.03125","0.21875","0.08291708291708291"
"Xanthomonas_OG0002614","1","1","140","44","12","2","92.10526315789474","4.3478260869565215","0.5303030303030303","0.5279408972030482","1.0","1.0","5","2","3","1.0","1.0","0.8125"
"Xanthomonas_OG0002663","1","1","140","44","12","2","92.10526315789474","4.3478260869565215","0.5303030303030303","0.5279408972030482","1.0","1.0","5","2","3","1.0","1.0","0.9375"
"Xanthomonas_OG0002664","1","1","140","44","12","2","92.10526315789474","4.3478260869565215","0.5303030303030303","0.5279408972030482","1.0","1.0","5","2","3","1.0","1.0","0.96875"
"Xanthomonas_OG0004763","0","0","12","2","140","44","7.894736842105263","95.65217391304348","1.8857142857142857","0.5279408972030482","1.0","1.0","10","8","2","0.109375","0.109375","0.65625"
"Xanthomonas_OG0004909","1","0","12","2","140","44","7.894736842105263","95.65217391304348","1.8857142857142857","0.5279408972030482","1.0","1.0","8","7","2","0.0703125","0.2890625","0.1951219512195122"
"Xanthomonas_OG0005019","0","0","12","2","140","44","7.894736842105263","95.65217391304348","1.8857142857142857","0.5279408972030482","1.0","1.0","7","6","1","0.125","0.125","0.3125"
"Xanthomonas_OG0005220","0","0","12","2","140","44","7.894736842105263","95.65217391304348","1.8857142857142857","0.5279408972030482","1.0","1.0","6","5","1","0.21875","0.21875","0.4375"
"Xanthomonas_OG0005572","0","0","12","2","140","44","7.894736842105263","95.65217391304348","1.8857142857142857","0.5279408972030482","1.0","1.0","5","4","1","0.375","0.375","0.71875"
"Xanthomonas_OG0005788","0","0","12","2","140","44","7.894736842105263","95.65217391304348","1.8857142857142857","0.5279408972030482","1.0","1.0","7","6","2","0.125","0.453125","0.46875"
"Xanthomonas_OG0005994","0","0","12","2","140","44","7.894736842105263","95.65217391304348","1.8857142857142857","0.5279408972030482","1.0","1.0","7","7","2","0.015625","0.453125","0.059940059940059943"
"Xanthomonas_OG0006128","0","0","12","2","140","44","7.894736842105263","95.65217391304348","1.8857142857142857","0.5279408972030482","1.0","1.0","9","8","2","0.0390625","0.1796875","0.16923076923076924"
"Xanthomonas_OG0006227","0","0","12","2","140","44","7.894736842105263","95.65217391304348","1.8857142857142857","0.5279408972030482","1.0","1.0","5","4","2","0.375","1.0","0.5"
"Xanthomonas_OG0006514","0","0","12","2","140","44","7.894736842105263","95.65217391304348","1.8857142857142857","0.5279408972030482","1.0","1.0","5","4","1","0.375","0.375","0.625"
"Xanthomonas_OG0006515","0","0","12","2","140","44","7.894736842105263","95.65217391304348","1.8857142857142857","0.5279408972030482","1.0","1.0","5","4","1","0.375","0.375","0.6875"
